id,name,lastHelped,affect,lastActive,code2Min,handRaised,helpMessage,codeURL,teacherMessage,isPinned,submission
1,Blake Joyner,22 minutes ago,Happy,3 minutes,0,no,,,,,
2,Andrew Nguyen,29 minutes ago,Confused,19 seconds,7,code,I need help with this for loop.,,,,
3,Aarav Patel,2 days ago,Focused,7 minutes,0,no,,,,,
4,Omar Ali,16 minutes ago,Frustrated,5 seconds,9,code,,,,,
5,Leilani Garcia,33 minutes ago,Satisfied,59 seconds,10,no,,,,,
6,Mei Chen,2 days ago,Unhappy,8 seconds,8,other,,,,,
7,Ravi Desai,9 days ago,Neutral,2 minutes,7,no,,,,,
8,Lucas Oliveira,5 days ago,Confused,55 seconds,12,other,,,,,
9,Amara Hassan,40 minutes ago,Frustrated,21 seconds,11,code,,,,,
10,Ingrid Andersson,61 minutes ago,Happy,15 seconds,6,no,,,,,
11,Priya Reddy,10 minutes ago,Satisfied,1 minute,3,no,,,,,
12,Andrew Turner,44 minutes ago,Neutral,2 days,0,no,,,,,
13,Jason Perez,66 minutes ago,Neutral,7 minutes,0,no,,,,,
14,Madison White,9 days ago,Unhappy,1 minute,8,code,,,,,
15,Nicholas Klein,47 minutes ago,Focused,11 seconds,5,no,,,,,
16,Elizabeth Rivera,38 minutes ago,Focused,7 days,0,no,,,,,
17,Ava Hafeez,5 days ago,Happy,5 minutes,0,no,,,,,
18,James Cooper,58 minutes ago,Satisfied,33 seconds,13,no,,,,,
19,Sophia Williams,12 days ago,Focused,13 minutes,0,no,,,,,
20,Chetan Rajan,25 minutes ago,Confused,2 days,0,code,,,,,
21,"Zoe 	Abe",2 days ago,Focused,3 seconds,15,no,,,,,
22,Elijah Cho,7 days ago,Neutral,6 minutes,0,no,,,,,
23,Bum Park,5 minutes ago,Confused,"41 seconds",13,other,,,,,
24,Alexander Thompson,8 minutes ago,Happy,17 seconds,9,no,,,,,
25,Owen Hill,7 days ago,Satisfied,8 minutes,0,no,,,,,
26,Abigail Schmitt,1 minute ago ago,Neutral,4 minutes,0,no,,,,,
27,Emma Kowalski,29 minutes ago,Neutral,49 seconds,18,no,,,,,
28,Jack De Santis,56 minutes ago,Focused,19 seconds,12,no,,,,,
29,Beatrice Hoffman,14 days ago,Happy,37 seconds,11,no,,,,,
30,Yash Kumar,12 days ago,Happy,37 seconds,11,no,,,,,
